ID,Name,Category,Subcategory,Difficulty,Price,SalePrice,ShortDescription
cmme6v4du000104jrylifrp8h,ZOOM XA LT,VARJOLIITIMET,EN-A Varjoliitimet,,4650,,ZOOMin kevyt A-luokkalainen
cmme6fefy000004jrox1eoi0s,ZOOM XA,VARJOLIITIMET,EN-A Varjoliitimet,,3890,,ZOOMin A-luokkalainen
cmme5w058000104jytux3e1b7,ZOOM X2C LT,VARJOLIITIMET,EN-C Varjoliitimet,,6090,,2-linjainen kevyt liidin C-luokkaan ZOOMilta
cmme5i4yx000004jy1rku1wrb,ZOOM X2C,VARJOLIITIMET,EN-C Varjoliitimet,,5590,,2-linjainen C-luokkalainen ZOOMilta
cmme4umtn000004lbbszo100v,ZOOM XB LT,VARJOLIITIMET,EN-B Varjoliitimet,,4920,,Kevyt B-luokkalainen Zoomilta
cmmddgivt000204jvugm6j84o,Kuminauhat,PELASTUSVARJOT,,,5,,Puolen vuoden välein vaihtoon
cmmdc8hiq000104jvtzii3im8,INDEPENDENCE FRONT CONTAINER MULTI,PELASTUSVARJOT,Etulaukku,,120,,Etulaukku pelastuvarjolle 
cmmdbrnu4000004jvnc7q8ozh,DE LUX LEG VARIO HOLDER,MITTARIT,,,45,,Jalkatuki mittarille
cmmdbj3m4000104jp47pfunr6,INDEPENDENCE ULTRA CROSS 210,PELASTUSVARJOT,Neliskulmaiset pelastusvarjot,,1730,,Ultra tandemi kovaan käyttöön
cmmda6y8f000004jplub2ju4h,INDEPENDENCE LOOPING,VALJAAT,Kääntövaljaat,,1035,,Ison pilotin valjaat
cmmd8hedz000104lefs7boas5,INDEPENDENCE CHILDREN'S PASSENGER HARNESS,VALJAAT,Lastenvaljaat,,495,,JR mukaan lennolle
cmmd82q5i000004leiq6zt1z4,INDEPENDENCE FREESTYLE,VALJAAT,Avovaljaat,,1025,,Helpot ja hyvät avovaljaat
cmmd7oz2c000004jlx82uwkzl,QPS CARRY QUIC PACKING SACK ,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Ruusupussit,,100,,Suosittu ruusupussi 
cmmd6zw2d000104jrb3wpck8n,FINSTERWALDER SNAPLOCK,MUUT TUOTTEET,Karabiinit,,30,,Monikäyttöinen karabiini Charlyltä
cmmd6atnw000004l4p32b2lqp,INDEPENDENCE G-FORCE BRAKE,MUUT TUOTTEET,,,175,,Pienin ja kätevin G-voimajarru
cmmd60ds0000004jrxt75jokp,INDEPENDENCE COCPIT,MUUT TUOTTEET,,,95,,Etulaukku mittarille sekä lentoeväille
cmmd52bso000004l75m9k27ck,COMPANION SQR Prime The Performance Reserve,PELASTUSVARJOT,Neliskulmaiset pelastusvarjot,,970,,Suorituskyvyn pelastaja
cmmd1jml3000004jsveopgh7j,COMPANION SQR Classic The Universal Reserve,PELASTUSVARJOT,Neliskulmaiset pelastusvarjot,,895,,Modernia perinteistä
cmmd0wvta000004jf9ok81c5z,COMPANION SQR Light GEN2 The Lightweight Reserve 200,PELASTUSVARJOT,Neliskulmaiset pelastusvarjot,,1640,,Ammatilaisen valinta tandemiin
cmmd0bqvo000104i8cnw4ptz6,COMPANION SQR Light GEN2 The Lightweight Reserve,PELASTUSVARJOT,Neliskulmaiset pelastusvarjot,,1095,,Kevyt ja helppo pakata uudestaan
cmmczpxok000004i8z4muxfld,ADVANCE LIGHTPACK ULS,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Reput,,245,,ULS-sarjan ultrakevyt kantoreppu
cmmczccqw000004jjwhcntk6g,ADVANCE FLATBAG ULS,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Makkarapussit,,150,,Suositun ULS sarjan compression bag
cmmcz0urv000004i8d76k8593,ADVANCE FLATBAG DLS,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Makkarapussit,,130,,Super laadukas makkarapussi 
cmmcybglq000104kwh40fs4ru,ADVANCE LIGHTBAG 15L,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Reput,,25,,Kamakassi 15L
cmmcy1wrr000004kwrnsbjl8l,ADVANCE FASTBAG 210L  ,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Ruusupussit,,250,,Laadukas repputyylinen ruusupussi tandemille
cmmcxw82a000004jufhpcn7f2,ADVANCE FASTPACK 160L,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Ruusupussit,,215,,Laadukas repputyylinen ruusupussi
cmm8ky43j000004ilul6902yc,ADVANCE INNER CONTAINER WITH HANDLE,MUUT TUOTTEET,,,70,,Valjaiden kahva sekä pussi
cmm8kmc7f000304l749tby4ps,ADVANCE LIGHTPACK ULS,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Reput,,195,,ULS super kevyt reppu
cmm8kfbzj000304kwfoi6j9ws,ADVANCE COMFORTPACK 4,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Reput,,195,,Markkinoiden mukavin liidinreppu
cmm8k4i27000204l76wpnt33l,AURA,MUUT TUOTTEET,Karabiinit,,35,,Alumiini karabiini
cmm8jzow1000104l792we7wzn,ADVANCE HOOK KNIFE WITH POCKET,MUUT TUOTTEET,,,40,,Advance koukupuukko valjaisiin
cmm8jt2nr000204kw9lgpps7g,ADVANCE COCKPIT CARRY,MUUT TUOTTEET,,,135,,Etulaukku Advance valjaisiin
cmm8jp55f000004l73704zy8t,ADVANCE FRONTCONTAINER ZIP LIGHT,MUUT TUOTTEET,,,125,,Advancen kevyt etulaukku pelastusvarjolle
cmm8jh59v000104l7bhjioai7,ADVANCE RADIO POCKET,MUUT TUOTTEET,,,35,,Ahtaampi radiotasku
cmm8jbihe000004l7fbvnqye0,ADVANCE TANDEM SPREADERS,MUUT TUOTTEET,,,200,,Tandem jatkot by Advance
cmm8j5vk3000304kzghleg3io,PLUME,MUUT TUOTTEET,Karabiinit,,35,,Ultra-light alumiini karabiini (Hike&Fly)
cmm8j0ag2000204kz6a7hls9n,CARABINER INOX (OVAL),MUUT TUOTTEET,Karabiinit,,20,,Pelastusvarjon ovaali kiinnitysrengas
cmm8itwj3000104kw3a68272e,ALIAS II SPEED,MUUT TUOTTEET,Karabiinit,,30,,Alumiinikarabiini 
cmm8iqsx5000004kw3iqta48d,ALIAS,MUUT TUOTTEET,Karabiinit,,30,,Alumiinikarabiini
cmm8ig91c000104kzbq2s0fi1,STRATUS INOX,MUUT TUOTTEET,Karabiinit,,35,,STRATUS INOX teräskarabiini
cmm8ibh7u000204jyy77c0tzz,FORAS STEEL,MUUT TUOTTEET,Karabiinit,,40,,Teräskarabiini  EDELRID:iltä
cmm8i7pzi000004johthwoxia,EASE,MUUT TUOTTEET,Karabiinit,,35,,Kevyt karabiini
cmm8i27as000004kz60tju4ii,ITV ADJUSTABLE TOGGLES,MUUT TUOTTEET,,,65,,Säädettävä acrokahva
cmm8hvlew000104jyjy2lzptr,EDELRID FORAS KARABINER ,MUUT TUOTTEET,Karabiinit,,30,,Alumiinikarabiini
cmm8hot1y000104l1xv1qbt72,7MM QUICK LINK,MUUT TUOTTEET,Karabiinit,,22,,7mm pelastusvarjon neliökarabiini
cmm8hjd4n000004jy1s0j5b3d,6MM QUICK LINK,MUUT TUOTTEET,Karabiinit,,20,,6mm pelastusvarjon neliökarabiini
cmm8h73nc000004jrllmxkc6w, POWERFLY INOX 45MM,MUUT TUOTTEET,Karabiinit,,35,,Teräskarabiini
cmm8gw0yi000004l1po8gxjno,ITV FRONT MOUNTED RESERVE PARACHUTE CONTAINER,PELASTUSVARJOT,,,130,,Etulaukku ITV:ltä
cmm8grmw9000004jp943zlc7e,ITV WINDSOCK,MUUT TUOTTEET,,,25,,Markkinoiden paras tuulipussi
cmm8ggh6q000004l56r63hfta,AD FRONTCONTAINER,PELASTUSVARJOT,,,115,,Le Slip valjaisiin pelastusvarjopussi
cmm8g9600000004lao70gkb3q,AD SUPER SIMPLE TRIMMERS,MUUT TUOTTEET,,,60,,Etutrimmit speediin
cmm7t84yh000104l2alffjxr5,PARAGLIDING BALLAST,MUUT TUOTTEET,,,65,,Markkinoiden paras vesiballastipussi
cmm7sz2l6000004l2u05e28l8, PPG SMOKE CASE CAM,MUUT TUOTTEET,,,65,,GoProlle perässä lentävä sulka
cmm7spozw000004l5dmhemu4q,Y-LIINA,MUUT TUOTTEET,,,60,,Y-liina pelastusvarjon kytkemiseen
cmm7sj4q0000104l808nvvox5,BGD SCOUT ,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Reput,,150,,BGD-reppu kevyiden varusteiden kantoon.
cmm7sct8a000004l8mxg67kuc,PHI COMPRESSION BAG,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Makkarapussit,,135,,Pakkauspussi Philtä
cmm7s6lsy000004kvw0b8imgy,BGD RUCKSACK,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Reput,,185,,Liidinreppu BGD
cmm7rnruh000004jvbbabnpja,BGD CARBON SPEEDBAR,MUUT TUOTTEET,,,40,,BGD speedi
cmm7r6582000204lahjm6jtwa,BGD CONCERTINA BAG,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Ruusupussit,,90,,BGD perinteinen makkarapussi
cmm7r023i000004lhmgpdfgow,BGD COMPRESSION BAG,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Makkarapussit,,90,,BGD suljettava ruusupussi
cmm7qt37x000104lavfn83eui,BGD GIPSY,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Ruusupussit,,165,,BGD ruusupussi selkähakasilla
